"시설명","지점명","날짜","시간","PM10단위","PM10기준치","PM10측정값","PM10측정기","PM10D/L","CO2단위","CO2기준치","CO2측정값","CO2측정기","CO2D/L","CO단위","CO기준치","CO측정값","CO측정기","COD/L","NO2단위","NO2기준치","NO2측정값","NO2측정기","NO2D/L"
"서울충무로역 [지자체]","충무로역대합실","2017-12-18","","㎍/㎥","150","83","정상","","ppm","1000","675","정상","","ppm","10","1.2","정상","","ppm","0.05","0.043","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-18","","㎍/㎥","150","63","정상","","ppm","1000","637","정상","","ppm","10","1.1","정상","","ppm","0.05","0.048","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-18","","㎍/㎥","150","65","정상","","ppm","1000","628","정상","","ppm","10","1.2","정상","","ppm","0.05","0.061","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-18","","㎍/㎥","150","92","정상","","ppm","1000","643","정상","","ppm","10","1","정상","","ppm","0.05","0.052","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-17","","㎍/㎥","150","38","정상","","ppm","1000","503","정상","","ppm","10","0.5","정상","","ppm","0.05","0.031","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2017-12-17","","㎍/㎥","150","92","정상","","ppm","1000","554","정상","","ppm","10","0.4","정상","","ppm","0.05","0.033","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2017-12-17","","㎍/㎥","150","51","정상","","ppm","1000","556","정상","","ppm","10","0.5","정상","","ppm","0.05","0.029","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-17","","㎍/㎥","150","63","정상","","ppm","1000","501","정상","","ppm","10","0.4","정상","","ppm","0.05","0.03","정상",""
"서울충무로역 [지자체]","충무로역대합실","2017-12-16","","㎍/㎥","150","62","정상","","ppm","1000","544","정상","","ppm","10","0.6","정상","","ppm","0.05","0.029","정상",""
"서울시청역 [지자체]","서울시청대합실","2017-12-16","","㎍/㎥","150","48","정상","","ppm","1000","527","정상","","ppm","10","0.6","정상","","ppm","0.05","0.031","정상",""
