"[AA]죄종별","죄종별","[BB]공범관계별","공범관계별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"0108","강제추행","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","","","12","12","9","8","6","17","9","3",
"0108","강제추행","BB208","애인","BB1[14STD04548]","범죄자[명]","명","","","21","4","3","2","16","11","10","11",
"0108","강제추행","BB209","기타","BB1[14STD04548]","범죄자[명]","명","","","166","171","100","100","103","283","201","164",
"0108","강제추행","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","","1984","1661","328","196","300","3347","3567","3485",
"0109","기타 강간·강제추행등","BB1","계","BB1[14STD04548]","범죄자[명]","명","","","1887","1193","686","521","371","458","495","349",
"0109","기타 강간·강제추행등","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","","","1436","916","538","434","310","341","371","238",
"0109","기타 강간·강제추행등","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","","272","133","93","80","56","39","59","51",
"0109","기타 강간·강제추행등","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","","","66","25","35","22","16","3","7","9",
"0109","기타 강간·강제추행등","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","7","","","1","-","-","-","-",
"0109","기타 강간·강제추행등","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","","","11","7","4","6","-","2","2","-",
"0109","기타 강간·강제추행등","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","","","4","2","3","","1","1","-","5",
"0109","기타 강간·강제추행등","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","","2","","-","-","-","-",
"0109","기타 강간·강제추행등","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","","","105","42","31","18","29","25","21","17",
"0109","기타 강간·강제추행등","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","","","10","5","","5","-","1","10","2",
"0109","기타 강간·강제추행등","BB208","애인","BB1[14STD04548]","범죄자[명]","명","","","3","4","2","3","-","-","3","5",
"0109","기타 강간·강제추행등","BB209","기타","BB1[14STD04548]","범죄자[명]","명","","","66","48","16","25","10","7","16","13",
"0109","기타 강간·강제추행등","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","","179","144","55","7","5","78","65","60",
"0105","방화","BB1","계","BB1[14STD04548]","범죄자[명]","명","1519","1399","1386","1466","1517","1396","1286","1387","1317","1196",
"0105","방화","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","1316","1076","1141","1198","1347","1223","1140","1146","1024","947",
"0105","방화","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","216","152","164","127","141","113","117","119","101",
"0105","방화","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","52","55","60","77","24","38","21","24","36","22",
"0105","방화","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","2","","2","","","-","-","-","-",
"0105","방화","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","46","31","16","10","17","20","10","19","9","7",
"0105","방화","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","7","4","14","1","10","","4","10","4","2",
"0105","방화","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","1","-","-",
"0105","방화","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","49","68","33","35","42","41","58","33","40","35",
"0105","방화","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","1","2","","","5","5","4","2","-","3",
"0105","방화","BB208","애인","BB1[14STD04548]","범죄자[명]","명","9","4","","9","8","3","6","7","1","2",
"0105","방화","BB209","기타","BB1[14STD04548]","범죄자[명]","명","39","50","29","30","21","34","10","21","29","30",
"0105","방화","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","107","93","104","43","32","33","124","174","148",
"02","절도범죄","BB1","계","BB1[14STD04548]","범죄자[명]","명","111390","104434","102658","95645","103166","106415","105695","97334","101295","98425",
"02","절도범죄","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","70747","57849","60540","59713","71398","77921","79061","66778","71130","68651",
"02","절도범죄","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","39201","34858","28560","28201","25559","23510","20956","19802","19550",
"02","절도범죄","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","10624","10505","9664","7802","7850","6663","6041","4717","4494","4079",
"02","절도범죄","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","420","405","372","336","397","340","316","343","298","196",
"02","절도범죄","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","2790","1804","1729","1580","1426","1543","1514","1175","973","880",
"02","절도범죄","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","1425","1287","1077","1034","1061","1080","1112","1056","951","1014",
"02","절도범죄","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","36","55","39","23","27","33","33","39","22","28",
"02","절도범죄","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","13698","14914","12926","10388","10609","9783","8978","7801","7714","8425",
"02","절도범죄","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","1167","908","960","790","904","770","754","575","620","509",
"02","절도범죄","BB208","애인","BB1[14STD04548]","범죄자[명]","명","1021","1102","1041","904","888","919","863","828","744","632",
"02","절도범죄","BB209","기타","BB1[14STD04548]","범죄자[명]","명","9462","8221","7050","5703","5039","4428","3899","4422","3986","3787",
"02","절도범죄","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","7384","7260","7372","3567","2935","3124","9600","10363","10224",
"03","폭력범죄","BB1","계","BB1[14STD04548]","범죄자[명]","명","392042","400282","369913","358275","372723","380965","363511","348969","346561","313990",
"03","폭력범죄","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","306979","206410","196891","189519","291663","316608","290225","185986","192493","178238",
"03","폭력범죄","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","87775","68931","59550","48320","42791","42357","40372","34190","29521",
"03","폭력범죄","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","11416","13671","8566","7309","5450","5207","5241","5089","4228","2924",
"03","폭력범죄","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","50","61","55","45","50","60","42","48","83","82",
"03","폭력범죄","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","12226","11324","10594","8739","6792","5524","5384","4269","3555","3223",
